year,energy_type,country_code,energy
1980,renewables,FRO,0.000509012
1980,total,FJI,0.015112123
1980,coal,FJI,0.000387156
1980,natural_gas,FJI,0
1980,petroleum,FJI,0.014724967
1980,all_renewable,FJI,0
1980,renewables,FJI,0
1980,total,FIN,0.974416873
1980,coal,FIN,0.143834148
1980,natural_gas,FIN,0.032512
1980,petroleum,FIN,0.584323026
1980,all_renewable,FIN,0.2137477
1980,nuclear,FIN,0.0693505
1980,renewables,FIN,0.1443972
1980,total,CSK,3.120464499
1980,coal,CSK,1.963877134
1980,natural_gas,CSK,0.335075
1980,petroleum,CSK,0.778378934
1980,all_renewable,CSK,0.04313343
1980,nuclear,CSK,0.055431
1980,renewables,CSK,-0.01229757
1980,total,SCG,
1980,coal,SCG,
1980,natural_gas,SCG,
1980,petroleum,SCG,
1980,all_renewable,SCG,
1980,nuclear,SCG,
1980,renewables,SCG,
1980,total,SUN,51.56998767
1980,coal,SUN,15.90984917
1980,natural_gas,SUN,13.86112
1980,petroleum,SUN,19.11784282
1980,all_renewable,SUN,2.681175687
1980,nuclear,SUN,0.832642575
1980,renewables,SUN,1.848533112
1980,total,YUG,2.04599055
1980,coal,YUG,0.980054197
1980,natural_gas,YUG,0.142494
1980,petroleum,YUG,0.639097315
1980,all_renewable,YUG,0.284345038
1980,nuclear,YUG,
1980,renewables,YUG,0.284345038
1980,total,FRA,8.631356048
1980,coal,FRA,1.385275142
1980,natural_gas,FRA,0.929988
1980,petroleum,FRA,4.805407248
1980,all_renewable,FRA,1.510685658
1980,nuclear,FRA,0.719481856
1980,renewables,FRA,0.791203802
1980,total,GUF,0.005169293
1980,coal,GUF,0
1980,natural_gas,GUF,0
1980,petroleum,GUF,0.005169293
1980,all_renewable,GUF,0
1980,renewables,GUF,0
1980,total,PYF,0.003101388
1980,coal,PYF,0
1980,natural_gas,PYF,0
1980,petroleum,PYF,0.003101388
1980,all_renewable,PYF,0
1980,renewables,PYF,0
1980,total,GAB,0.028441271
1980,coal,GAB,0
1980,natural_gas,GAB,0.0026175
1980,petroleum,GAB,0.023154055
1980,all_renewable,GAB,0.002669716
1980,renewables,GAB,0.002669716
1980,total,GMB,0.00223412
1980,coal,GMB,0
1980,natural_gas,GMB,0
1980,petroleum,GMB,0.00223412
1980,all_renewable,GMB,0
1980,renewables,GMB,0
1980,total,GEO,
1980,coal,GEO,
1980,natural_gas,GEO,
1980,petroleum,GEO,
1980,all_renewable,GEO,
1980,nuclear,GEO,
1980,renewables,GEO,
1980,total,DEU,
1980,coal,DEU,
1980,natural_gas,DEU,
1980,petroleum,DEU,
1980,all_renewable,DEU,
1980,nuclear,DEU,
1980,renewables,DEU,
1980,total,DDR,5.918520195
1980,coal,DDR,4.776583345
1980,natural_gas,DDR,0.19227
1980,petroleum,DDR,0.810557142
1980,all_renewable,DDR,0.139109708
1980,nuclear,DDR,0.134084142
1980,renewables,DDR,0.005025566
1980,total,DEUW,11.4313853
1980,coal,DEUW,3.184388897
1980,natural_gas,DEUW,1.889664
1980,petroleum,DEUW,5.72267535
1980,all_renewable,DEUW,0.63465705
1980,nuclear,DEUW,0.4659294
1980,renewables,DEUW,0.16872765
1980,total,GHA,0.086435164
1980,coal,GHA,0
1980,natural_gas,GHA,0
1980,petroleum,GHA,0.033129356
1980,all_renewable,GHA,0.053305808
1980,renewables,GHA,0.053305808
1980,total,GIB,0.007498649
1980,coal,GIB,0
1980,natural_gas,GIB,0
1980,petroleum,GIB,0.007498649
1980,all_renewable,GIB,0
1980,renewables,GIB,0
1980,total,GRC,0.72415311
1980,coal,GRC,0.115619235
1980,natural_gas,GRC,0
1980,petroleum,GRC,0.570133572
1980,all_renewable,GRC,0.038400303
1980,renewables,GRC,0.038400303
1980,total,GRL,0.007817076
1980,coal,GRL,0
